Question,Answer
<p>Gesetz im formellen Sinn</p>,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(102, 102, 102);"">Regelmäßig nur diejenige Maßnahme, die vom&nbsp;Parlament&nbsp;in einem&nbsp;Gesetzgebungsverfahren&nbsp;beschlossen und im&nbsp;Gesetzblatt&nbsp;bekannt gemacht worden ist.</span></p><p><br></p><p><sub>jede Maßnahme die:</sub></p><ul><li><sub>die in einem Verfahren zustande gekommen ist, das von Verfassungs wegen für den Erlass von Gesetzen vorgesehen ist</sub></li><li><sub>von den in der&nbsp;Verfassung&nbsp;dazu bestimmten Organen erlassen worden ist und </sub></li><li><sub>die in der&nbsp;Verfassung&nbsp;für Gesetze bestimmte&nbsp;Form&nbsp;hat</sub></li></ul>"
<p>Rechtsstaat Österreich und Rolle der Vollziehung</p>,"<ul><li>Das Recht geht vom Volk aus (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel1"" rel=""noopener noreferrer"" target=""_blank"">Art 1. B-VG</a>)</li><li>Staatsgewalt gegenüber Bürgern liegt bei der Vollziehung</li><li>Handeln der Vollziehungsorgane muss für jeden vorhersehbar und berechenbar sein</li></ul>"
<p>Anforderungen an Gesetze im Gesetzesstaat</p>,"<ul><li>Geschrieben, allgemein gültige Gesetze: generelle Rechtsnormen. Ohne generelles Gesetz, kein individueller Rechtsakt.</li><li>Kundmachung: Gesetze müssen in Gesetzblättern veröffentlicht werden; Bundes- und Landesgesetzblätter müssen im <strong>RIS </strong>kundgemacht werden.</li><li class=""ql-indent-1"">Nicht kundgemachte Gesetze sind von vornherein ungültig</li><li class=""ql-indent-1"">Mangelhaft kundgemachte Gesetze müssen von VfGH aufgehoben werden, und von Gerichten ignoriert.</li></ul>"
<p>RIS</p>,"<p>Rechtsinformationssystem des Bundes <a href=""https://www.ris.bka.gv.at/"" rel=""noopener noreferrer"" target=""_blank"">https://www.ris.bka.gv.at/</a></p>"
<p>VfGH</p>,<p>Österreichischer Verfassungsgerichtshof</p>
<p>Trennung von Staat und Gesellschaft </p>,"<p>lat. status negativus: Wo es keine generelle Rechtsgrundlage gibt, besteht gestaltbarer gesellschaftlicher Freiraum</p>"
<p>Privatrechtsordnung</p>,"<ul><li>Staatlicher Rahmen für status negativus </li><li>Verträge zwischen Menschen ""verrechtlicht"" Freiraum (Privatautonomie)</li><li>Verbindliche Verträge (Konsensualnormen) können mittels Staat (Zivilgericht) durchgesetzt werden.</li></ul><p><br></p>"
<p>Rechtsschutzstaat</p>,<p>Hat objektive Rechtsschutzeinrichtungen und bietet subjektive Rechtswege (gegen den Staat)</p>
<p>Objektive Rechtsschutzeinrichtungen</p>,"<p>Staatliche Einrichtungen welche die Einhaltung der Gesetze gewährleisten sollen. (<strong>objektiv </strong>= hängt nicht vom Betroffenen ab, ob die Einrichtungen aktiv werden)</p><ul><li>polit. und rechtl. Kontrollen der Regierung durch das Parlament</li><li>Missstandskontrolle durch Volksanwaltschaft</li><li>Gebarungskontrolle durch Rechnungshof</li></ul>"
<p>Subjektive Rechtswege</p>,<ul><li>bei gesetzeswidrigem Verhalten der Vollziehung können betroffene einen förmlichen Prozess gegen den Staat führen</li><li>Ziel: Zwingen der Vollziehung zur Beachtung der Gesetze</li></ul>
<p>Stufenbau der Rechtsordnung</p>,"<p><img src=""https://memcode-production.s3.us-west-2.amazonaws.com/1595847592973""></p>"
<p>Widerspruchsfreiheit (Vorrang)</p>,<p>Die niedrigere (bedingte) Norm darf der höheren (bedingenden) Norm nicht widersprechen.</p>
<p>Gesetzmäßigkeitsgebot&nbsp;</p>,"<ul><li>Auch Gesetzesvorbehalt oder Legalitätsprinzip</li><li>Es gilt für die Vollziehung nicht nur die Widerspruchsfreiheit: Die gesamte Staatliche Verwaltung darf nur auf Grund der Gesetze ausgeübt werden (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel18"" rel=""noopener noreferrer"" target=""_blank"">Art 18. Abs 1. B-VG</a>)</li></ul>"
<p>Verfassungsautonomie&nbsp;</p>,"<ul><li><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Absolute (uneingeschränkte): </span>gilt für den Bundesverfassungsgesetzgeber</li><li>Relative (eingeschränkte): Gilt für die Landesverfassungsgesetzgeber; d.h. kann nicht gegen Bundesverfassung verstoßen, ist aber sonst frei. </li></ul>"
<p>(eingeschränkte) Gesetzgebungsautonomie&nbsp;</p>,"<p>Einfacher Gesetzgeber darf alle Normen erlassen, solange sie der Verfassung nicht widersprechen (Widerspruchsfreiheit) </p>"
<p>Determinierungspflicht&nbsp;</p>,"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Gesetze müssen so genau determiniert sein, dass die Vollziehung klare Handlungsvorgaben hat (</span><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel18"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: rgb(40, 45, 88); color: rgb(105, 122, 180);"">Art 18. Abs 1. B-VG</a><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">)</span></p><p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Ist das Gesetz zu ungenau, wäre die Verwaltung zu frei (formalgesetzliche Delegation -&gt; Verfassungswidrig)</span></p>"
<p>Derogation</p>,"<p>2 Normen gleichen Ranges widersprechen sich.</p><ul><li><strong>formell</strong>: im neuen Gesetz wird die alte aufgehoben</li><li><strong>materiell</strong>:</li><li class=""ql-indent-1"">nach <strong>Zeit</strong>: das jüngere verdrängt das ältere</li><li class=""ql-indent-1"">nach <strong>Spezialität</strong>: das speziellere verdrängt das generelle</li></ul>"
<p>Fehlerkalkül</p>,"<p>Rechtswidrige Normen sind nicht immer von vornherein ungültig (absolut nichtig, bei <strong>gravierender</strong> und <strong>evidenter</strong> Rechtswidrigkeit), sondern gelten bis zur Aufhebung (relativ nichtig)</p><p><br></p><ul><li><strong>rückwirkende Aufhebung</strong> (ex tunc): individuelle Rechtssätze wie Bescheid und Urteil, ein Anlassfall der zur Aufhebung einer generellen Norm geführt hat (Ergreiferprämie)</li><li><strong>Aufhebung für die Zukunft</strong> (ex nunc): Bei generellen Rechtssätzen für die Allgemeinheit</li></ul>"
"<p>Österreich als Förderation, Staatsbürgerschaft im Bundesstaat</p>","<ul><li>Österreich ist ein Bundesstaat (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel2"" rel=""noopener noreferrer"" target=""_blank"">Art. 2 B-VG</a>) </li><li>Gegenteil: Einheitsstaat / Zentralstaat</li><li>9 Bundesländer, also 10 Teilstaaten: Bundesländer + Bund als Gesamtstaat</li><li>In Österreich: einheitliche Staatsbürgerschaft (bei Bundesstaaten kann das auch anders sein)</li></ul>"
<p>Zwei Staatsorganisationen (je Bund und Land)</p>,"<p>Bund : Land</p><ul><li>Nationalrat + Bundesrat : Landtag</li><li>Bundesreg./Verwaltung : Landesreg./Verwaltung</li><li>Bundesgerichtsbarkeit : Landesgerichtsbarkeit</li><li class=""ql-indent-1"">Verwaltungsgerichtsbarkeit 1. Instanz ist zwischen Bund und Land geteilt</li><li class=""ql-indent-1"">Ordentliche Gerichtsbarkeit (Zivil/Strafrecht) ist nur Bundessache (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel82"" rel=""noopener noreferrer"" target=""_blank"">Art. 82 Abs. 1 B-VG</a>)</li></ul><p><br></p><p><br></p>"
<p>Ordentliche Gerichtsbarkeit</p>,<p>Zivil- und Strafrecht</p>
<p>Kompetenzkompetenz&nbsp;des Bundes</p>,"<p>Der Bundesgesetzgeber legt in der Verfassung fest, wer welche Kompetenzen hat (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel10"" rel=""noopener noreferrer"" target=""_blank"">Art. 10 bis 15 B-VG</a>[genauer: 10, 11, 12 und 15]). </p>"
<p>Enumerationsmethode</p>,"<p>Der Bund zählt die Kompetenzen, die ihm gehören auf</p>"
<p>Generalklausel</p>,"<p>zugunsten der Länder, alles was nicht Bundessache ist, steht dem Land zu. Damit sind alle Kompetenzen vergeben und es kann nichts übrig bleiben.</p>"
<p>Kompetenztrennung</p>,"<ul><li>Zuständigkeit liegt entweder bei Bund oder Land, es gibt keine ""Konkurrenz"".</li><li>Eine Sachmaterie kann unter verschiedene <strong>Gesichtspunkte </strong>fallen, dadurch ergeben sich verschiedene Kompetenzen die dann je von Bund oder Land geregelt werden.</li></ul>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Berücksichtigungsgebot</span></p>","<p>Die unter verschiedenen Gesichtspunkten wirkenden Gesetze dürfen sich nicht widersprechen, behindern, oder ""einander nichts übrig lassen"".</p><p><br></p><p>Beispiel: Bund erlaubt betreten des Waldes, Land kann dies nicht wegen der Jagd verbieten, sondern z.B.: nur zeitlich einschränken.</p><p><br></p>"
<p>Kompetenzenordnung nach Sachmaterien im B-VG</p>,"<ul><li><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel10"" rel=""noopener noreferrer"" target=""_blank"">Art. 10 Abs. 1 B-VG</a> (Zehnermaterien): Gesetzgebung und Vollziehung beim Bund</li><li class=""ql-indent-1"">Bundesverfassung, Gewerbe, Bundespolizei, Bundesämter, Kraftfahrwesen, ...</li><li><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel11"" rel=""noopener noreferrer"" target=""_blank"">Art. 11 Abs. 1 B-VG</a> (Elfermaterien): Gesetzgebung beim Bund, Vollziehung beim Land</li><li class=""ql-indent-1"">Staatsbürgerschaftswesen, Straßenpolizei, Umweltverträglichkeitsprüfung, ...</li><li><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel12"" rel=""noopener noreferrer"" target=""_blank"">Art. 12 Abs. 1 B-VG</a> (Zwölfermaterien): Grundsatzgesetz (bindet das <strong>Land</strong>) durch Bund , Ausführungsgesetz (bindet die <strong>Bürger</strong>) durch Land, Vollziehung Land</li><li class=""ql-indent-1"">Grundsatzgesetze müssen als solche bezeichnet werden</li><li class=""ql-indent-1"">Geben Rahmen vor, gibt es kein Grundsatzgesetz, ist das Land völlig frei</li><li><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel15"" rel=""noopener noreferrer"" target=""_blank"">Art. 15 Abs. 1 B-VG</a>: Generalklausel, weist alle übrigen Kompetenzen dem Land zu. Gesetzgebung und Vollziehung bei Land.</li><li class=""ql-indent-1"">Baurecht, Raumordnungsrecht, ...</li></ul>"
<p>Annexmaterien</p>,"<p>= Nebenmaterien, Adhäsionsmaterien.</p><p><br></p><p>Sachmaterien schließen auch Nebenmaterien ein (auch wenn nicht eigens genannt) z.B.: Verwaltungsverfahrensrecht, Verwaltungsstrafrecht, Enteignung, ... </p><p><br></p><p>Diese werden vom jeweils für die Sachmaterie zuständigen Gesetzgeber geregelt.</p>"
<p>Bedarfskompetenzen</p>,"<p><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel11"" rel=""noopener noreferrer"" target=""_blank"">Art. 11 Abs. 2 B-VG</a>: Der einfache Bundesgesetzgeber darf Annexmaterien zur Vereinheitlichung an sich ziehen, die Länder dürfen aber wieder abweichen, wenn es eindeutig ""erforderlich"" ist.</p>"
<p>Versteinerungstheorie</p>,"<p>die Kompetenzenordnung des B-VG trat erst am 01.10.1925 in Kraft; zur Auslegung der Begriffe sieht man sich die Festlegung vor 1925 an: War die Materie in einem Bundesgesetz geregelt ist der Bund zuständig, sonst das Land.</p>"
<p>Intrasystematische Weiterentwicklung</p>,"<p>War der Kompetenzbegriff vor 1925 noch nicht erfasst (technischer Fortschritt), wird er dem ähnlichsten Begriff zugeordnet - damit nicht alles an die Länder fallt.</p>"
<p>Vollziehungskompetenzen der Gemeinden</p>,"<p>Gemeinden haben Kompetenzen, <a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel118"" rel=""noopener noreferrer"" target=""_blank"">Art. 118 Abs. 2 B-VG</a> nimmt diese von den Bereichen des Bundes und der Länder aus (z.B.: Vollziehung des Baurechts)</p>"
<p>Allgemeine Vertretungskörper</p>,"<ul><li>Genannt im B-VG</li><li>Staatliche Kollegialorgane die Gebiets-bezogene Interessen aller vertreten.</li><li>Nationalrat, Bundesrat, Landtage und Gemeinderäte </li><li>Auch: EU-Parlament</li></ul>"
<p>Teile des Bundesparlaments</p>,<p>Zwei Kammern: Nationalrat und Bundesrat</p>
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Bundesversammlung</span></p>","<p><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel38"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(105, 122, 180); background-color: rgba(0, 0, 0, 0);"">Art. 38ff B-VG</a></p><ul><li>Kombination aus NR und BR</li><li>Wenige Aufgaben: <strong>Angelobung BP</strong>, Volksabstimmung zur Absetzung des BP, Kriegserkärung, ...</li></ul>"
"<p>Nationalrat (Zweck, Leitung, Legislaturperiode, Auflösung, Wahlrecht, Mitglieder)</p>","<ul><li>Bundesgesetzgebung</li><li>hat Präsidium (Präsident, 2. + 3. Präsident - <a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel30"" rel=""noopener noreferrer"" target=""_blank"">Art. 30 Abs. 1 B-VG</a>)</li><li>5 Jahre Legislaturperiode</li><li>Auflösung durch BP (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel29"" rel=""noopener noreferrer"" target=""_blank"">Art. 29 B-VG</a>) oder Selbstauflösung</li><li>aktives Wahlrecht (16), passives Wahlrecht (18)</li><li>183 Mitglieder</li></ul>"
"<p>Bundesrat <span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">(Zweck, Leitung, Legislaturperiode, Auflösung, Mitglieder)</span></p>","<ul><li>Erlaubt Ländern an Bundesgesetzgebung mitzuwirken</li><li>Hat Präsident (wechselt halbjährlich zwischen Ländern) und 2 Vizepräsidenten (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel36"" rel=""noopener noreferrer"" target=""_blank"">Art. 36 Abs. 2 B-VG</a>)</li><li>Bei Landtagswahl sendet der Landtag Mitglieder in den BR, BR hat keine Legislaturperiode, sondern wird stetig partiell erneuert.</li><li>Wird nicht aufgelöst, weil keine Legislaturperiode</li><li>61 Mitglieder (Bundesräte), g<span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">rößtes Bundesland 12, Rest</span> im Verhältnis zur Bürgerzahl, mindestens 3</li></ul>"
<p>Schlichte Parlamentsbeschlüsse</p>,"<p>Beschlüsse die keine Gesetze sind, z.B.: Genehmigung von Staatsverträgen durch NR, zum Teil Budgetbeschlüsse in den Ländern</p>"
<p>Verfassungsbestimmungen in einfachen Gesetzen</p>,"<ul><li>Einzelne Abschnitte, Artikel, Paragrafen, ... in einfachen Bundesgesetzen</li><li>werden durch die Kennzeichnung ""<strong>Verfassungsbestimmung</strong>"" (meist in Klammer oder Fett) zu Verfassungsrecht</li><li>Benötigen verfassungsändernde Mehrheit</li></ul>"
<p>GOG-NR</p>,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(32, 33, 34);"">Geschäftsordnungsgesetz&nbsp;1975</span></p>"
<p>GO-BR</p>,<p>Geschäftsordnung des Bundesrates</p><p><br></p>
<p>7 Schritte der Bundesgesetzgebung</p>,<ol><li>Gesetzesinitiative</li><li>Behandlung im NR</li><li>Behandlung im BR</li><li>Zustimmung der Länder (wenn erforderlich)</li><li>Volksabstimmung</li><li>Beurkundung</li><li>Kundmachung</li></ol>
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Bundesgesetzgebung: Gesetzesinitiative</span></p>","<p>Gesetzesvorschlag (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel41"" rel=""noopener noreferrer"" target=""_blank"">Art. 41 B-VG</a>) durch:</p><ul><li>Bundesregierung (Regierungsvorlage)</li><li>NR-Ausschuss</li><li>Antrag von min. 5 Abgeordneten</li><li>Bundesrat oder 1/3 seiner Mitglieder</li><li>Volksbegehren (100k Stimmen oder je 1/6 von 3 Ländern)</li></ul>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Bundesgesetzgebung: Behandlung im NR&nbsp;</span></p>","<p>3 Lesungen (<a href=""https://www.jusline.at/gesetz/gognr/paragraf/69"" rel=""noopener noreferrer"" target=""_blank"">$69ff GOG-NR</a>)</p><ul><li>Zuweisung Entwurf an Ausschuss</li><li>Behandlung des Berichts des Ausschusses</li><li>Gesetzesbeschluss - benötigt entsprechende Quoren (einfaches Gesetz <a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel31"" rel=""noopener noreferrer"" target=""_blank"">Art. 31 B-VG</a>, Verfassung <a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel44"" rel=""noopener noreferrer"" target=""_blank"">Art. 44 Abs. 1 B-VG</a>)</li></ul>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Bundesgesetzgebung: Behandlung im BR</span></p>","<p><strong>suspensives Veto</strong> (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel42"" rel=""noopener noreferrer"" target=""_blank"">Art. 42 Abs. 2, 3 B-VG</a>): Begründeter Einspruch innerhalb von 8 Wochen</p><ul><li>NR kann mit <strong>Beharrungsbeschluss </strong>bei Präsenzquorum von 1/2 übergehen (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel42"" rel=""noopener noreferrer"" target=""_blank"">Art. 42 Abs. 4 B-VG</a>)</li></ul><p><br></p><p><strong>absolutes Veto </strong>bei Einschränkung der Zuständigkeit der Länder <span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);""> (Art 44. Abs. 2 B-VG)</span>, oder wenn Stellung des BR verändert wird <span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);""> (Art 35. Abs. 4 B-VG) </span></p>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Bundesgesetzgebung: Zustimmung der Länder (wenn erforderlich)</span></p>",<ul><li>BK muss betroffenen Länder Gesetzesbeschluss vorlegen</li><li>Landeshauptmann muss Zustimmung/Ablehnung innerhalb von 8 Wochen bekannt geben (Art. 42a B-VG)</li></ul>
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Bundesgesetzgebung: Volksabstimmung</span></p>","<p><strong>fakultativ: </strong></p><ul><li>NR Mehrheit kann <span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Volksabstimmung für </span><strong style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">einfaches </strong><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Gesetz fordern </span> (Art. 43 B-VG)</li><li>1/3 des NR oder BR kann <span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Volksabstimmung für </span><strong style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Verfassungsgesetz </strong><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">fordern (Art. 44. Abs. 3 B-VG)</span></li></ul><p><strong>obligatorisch:</strong></p><ul><li>Verfassungsgesetze mit Gesamtänderung der Bundesverfassung (Art. 44 Abs. 3 B-VG)</li></ul>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Bundesgesetzgebung: Beurkundung</span></p>","<p>(Art. 47 Abs 1,2,3 B-VG)</p><ul><li>BK legt BP Gesetzesbeschluss vor</li><li>BP unterzeichnet, dass das Verfahren verfassungsmäßig war</li><li>BK muss gegenzeichnen</li></ul>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Bundesgesetzgebung: Kundmachung</span></p>",<ul><li>Abschluss des Gesetzgebungsverfahren</li><li>BK gibt Gesetze im Bundesgesetzblatt elektronisch kund</li><li>Geregelt in Bundesgesetzblattgesetz</li></ul>
<p>Legisvakanz</p>,"<p>Datum der Kundgebung und des Inkrafttretens unterschiedlich.</p><p><br></p><p><strong>Rückwirkung</strong> prinzipielle möglich, aber nicht bei Strafgesetzen.</p>"
<p>Untersuchungsrecht des Bundesparlaments</p>,"<p><strong style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">Enqueterecht </strong><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">(Art. 53 Abs. 1 B-VG)</span></p><ul><li>NR oder 1/4 der Mitglieder kann <strong>Untersuchungsausschuss </strong>zur Aufklärung bestimmter Vorgänge in der Verwaltung einsetzen,</li></ul>"
"<p>Fragerecht <span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">des Bundesparlaments</span></p>","<p><strong>Interpellationsrecht </strong>(Art. 52 B-VG)</p><ul><li>Abgeordnete des NR/BR können zu allen Angelegenheiten der Verwaltung Fragen an die Regierung stellen, die diese beantworten muss,</li></ul>"
"<p>Entschließungsrecht <span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">des Bundesparlaments</span></p>","<p><strong>Resolutionsrecht</strong> (Art. 52 Abs. 1 B-VG)</p><ul><li>NR/BR kann durch (rechtlich unverbindlichen) Beschluss der Regierung Hinweise geben, wie sie Gesetze vollziehen soll.</li></ul>"
<p>Misstrauensvotum</p>,<p>Art. 74 B-VG</p><ul><li>Einfache Mehrheit des NR kann einzelne Minister durch den BP entlassen</li><li>Benötigt keinen Grund</li></ul>
<p>Ministeranklage (und Folgen)</p>,<p>Art. 76 Art. 142 B-VG</p><ul><li>NR kann Mitglied der Regierung beim VfGH anzeigen</li><li>möglicher Amtsverlust oder zeitweiser Verlust der politischen Rechte</li><li>Anklage muss begründet sein</li></ul>
<p>Freies Mandat</p>,<p>Art. 56 B-VG</p><ul><li>theoretisch sind Abgeordnete in der Berufsausübung frei</li><li>Praktisch herrscht Klubzwang</li></ul>
<p><strong>berufliche </strong>Immunität der Abgeordneten</p>,"<p>Art. 57 Abs 1. B-VG</p><ul><li>Abstimmungs- und Redefreiheit im Parlament</li><li>Alles ist erlaubt, außer Verleumdung und Geheimnisverrat</li><li>Keine Gerichtliche Verfolgung (auch nicht zivilrechtlich)</li></ul>"
<p><strong>außerberufliche </strong>Immunität<strong> </strong>der Abgeordneten</p>,"<ul><li>kein Schutz vor Zivilrechtlicher Verfolgung</li><li>Zusammenhang mit politischer Tätigkeit: NR muss der Verfolgung zustimmen (<strong>Auslieferung</strong>, Art. 57 Abs. 2 B-VG)</li><li>Kein Zusammenhang mit politischer Tätigkeit: keine Zustimmung des NR notwendig, NR kann aber Einstellung des Verfahrens fordern (Art. 57 Abs. 3)</li></ul>"
<p>Inkompatibilität der Ämter</p>,"<p>Bestimmte Ämter können neben</p><ul><li>d<span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">em Mandat </span>eines allgemeinen Vertretungskörpers</li><li>Mitglied des EU Parlaments</li><li>Mitglied der Regierung</li></ul><p>nicht ausgeübt werden.</p><p><br></p><ul><li>NR, BR und EU-Parlament schließen sich aus (Art. 59 B-VG)</li><li>Mandatar eines allg. Vertretungskörpers darf nicht <strong>BP </strong>(Art. 61 Abs. 1 iVm Art. 23b Abs. 3 B-VG), <strong>Rechnungshofpräsident </strong>(Art. 122 Abs. 5 B-VG), <strong>Volksanwalt </strong>(Art. 148g Abs. 5 B-VG) sein</li><li>Mitglied der Bundes/Landesregierung darf nicht Volksanwalt sein</li><li><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">Mandatar eines allg. Vertretungskörpers bzw. Regierungsmitglieder dürfen nicht </span><strong style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">Richter </strong><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">am </span><strong style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">OGH </strong><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">(Art. 92 Abs. 2 B-VG), bei einem </span><strong style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">VwG </strong><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">oder </span><strong style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">VwGH </strong><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">(Art. 134 Abs. 5 B-VG) oder </span><strong style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">VfGH </strong><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">(Art. 147 Abs. 4 B-VG)</span></li></ul>"
"<p>Landtag (Wahl, Auflösung, Abgeordnetenrechte und Einschränkungen, Tätigkeit)</p>","<ul><li>5-6 Jährige Legislaturperiode </li><li>Wahl</li><li class=""ql-indent-1"">Von Landesbürger gewählt (Art. 6 Abs. 2 B-VG)</li><li class=""ql-indent-1"">gleiche Wahlrechtsgrundsätze wie NR (Art. 95 Abs. 1 B-VG);</li><li class=""ql-indent-1"">Land darf Alter herab, aber nicht hinauf setzen (Art. 95 Abs. 2 B-VG)</li><li>BP kann Landtag auf Vorschlag der Bundesregierung mit Zustimmung des BR auflösen (Art. 100 Abs. 1 B-VG) oder Selbstauflösung</li><li>freies Mandat, Immunität, Inkompatibilität wie bei NR</li><li>B-VG enthält Grundsätze über Landesgesetzgebung, wird durch Landesgesetze genauer spezifiziert. </li></ul>"
<p>Weg der Landesgesetzgebung</p>,"<ul><li>Gesetzesbeschlüsse durch Landtag</li><li class=""ql-indent-1"">beurkundet, gegengezeichnet und durch LH kundgemacht (Landesgesetzblatt)</li><li class=""ql-indent-1"">Landesverfassungsgesetze: Präsenz 1/2, Konsens 2/3 (Art. 99 Abs. 2 B-VG)</li><li>Ist Zustimmung der Regierung notwendig, muss der LH vor Kundmachung dem Bundeskanzleramt bekannt geben<span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);""> (Art. 97 Abs. 2 B-VG), </span>Regierung hat 8 Wochen für Ablehnung</li><li class=""ql-indent-1""><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Bundesorgane sollen bei Vollziehung mitwirken (Art. 97 Abs. 2 B-VG)</span></li><li class=""ql-indent-1"">Ein eigenes Statut (Stadtrecht) betroffen ist (Art. 116 Abs. 3 B-VG)</li><li class=""ql-indent-1"">Änderung der Organisation der Behörden der allg. staatlichen Verwaltung in den Ländern (Art. 15 Abs. 10 B-VG)</li></ul>"
<p>Vertretung des Bundespräsidenten</p>,<ul><li>Kein Vizepräsident</li><li>bei Verhinderung: bis zu 20 Tage vom BK vertreten</li><li>dann: vertreten durch Präsidum des NR als Kollegialorgan (Art. 64 Abs. 1 B-VG)</li></ul>
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Bundespräsidenten</span> und Gewaltenteilung</p>",<ul><li>Oberstes Organ der <strong>Verwaltung </strong>(Art. 19 Abs. 1 B-VG) aber <strong>nicht weisungsbefugt </strong>(das ist nur die Regierung).</li><li>BP ernennt und entlässt Regierung</li><li>Verwaltungsapparat des BP: <strong>Präsidentschaftskanzlei</strong></li><li>Verwaltungsakte des BP: Entschließungen</li></ul>
